pair_str,config,gpusim_version,jobId,1_grid_x,1_grid_y,1_grid_z,1_block_x,1_block_y,1_block_z,1_ctas/SM,1_runtime,1_instructions,1_avg_mem_lat,1_avg_core_to_l2,1_avg_l2_to_core,1_avg_mrq_latency,2_grid_x,2_grid_y,2_grid_z,2_block_x,2_block_y,2_block_z,2_ctas/SM,2_runtime,2_instructions,2_avg_mem_lat,2_avg_core_to_l2,2_avg_l2_to_core,2_avg_mrq_latency,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate
parb_cutcp-0-parb_spmv-0,TITANV,commit_d5192_modified_1,130,11,11,1,8,2,8,8,562701,469895962,335,85,33,82,1147,1,1,128,1,1,8,70163,474487155,539,85,28,82,4328850,0,19640495,0.5391,0.8464
parb_sgemm-0-parb_spmv-0,TITANV,commit_d5192_modified_1,114,8,66,1,16,8,1,6,1747796,2800545792,457,129,21,89,1147,1,1,128,1,1,7,78382,1212578285,480,90,23,64,9708814,0,53938372,0.6032,0.7846
parb_sgemm-0-parb_stencil-0,TITANV,commit_d5192_modified_1,112,8,66,1,16,8,1,6,2307801,2800545792,483,91,17,161,8,128,1,32,4,1,7,379081,4514959470,409,76,20,153,17731523,0,34319948,0.9870,0.7313
cut_wmma-0-parb_spmv-0,TITANV,commit_d5192_modified_1,117,16,8,1,64,1,1,2,102767,36372480,1865,544,1133,76,1147,1,1,128,1,1,8,96698,105441590,745,256,164,58,1342819,0,6066042,0.5904,0.7363
cut_wmma-0-parb_stencil-0,TITANV,commit_d5192_modified_1,115,16,8,1,64,1,1,2,138690,254607360,1740,924,577,135,8,128,1,32,4,1,8,560230,644994210,1202,768,80,138,2580183,0,9123958,0.9850,0.5763
parb_cutcp-0-parb_stencil-0,TITANV,commit_d5192_modified_1,128,11,11,1,8,2,8,8,669971,469895962,422,107,33,182,8,128,1,32,4,1,8,345063,1289988420,499,79,20,167,4258727,0,8003514,0.9985,0.7449
parb_cutcp-0-parb_lbm-0,TITANV,commit_d5192_modified_1,129,11,11,1,8,2,8,8,723725,1059059698,2017,1619,43,191,120,150,1,120,1,1,6,906907,427778603,9692,8979,40,188,19025759,0,8929392,1.0000,0.9735
cut_wmma-0-parb_lbm-0,TITANV,commit_d5192_modified_1,116,16,8,1,64,1,1,2,232623,363724800,2686,2339,100,130,120,150,1,120,1,1,6,1239888,427778603,14365,13803,51,173,12525041,0,15800031,0.9944,0.7451
parb_sgemm-0-parb_lbm-0,TITANV,commit_d5192_modified_1,113,8,66,1,16,8,1,6,7722776,2800545792,2658,2064,44,176,120,150,1,120,1,1,6,923274,3850007427,9911,9192,50,187,188265221,0,83372252,0.9966,0.9784
cut_sgemm-0-cut_wmma-0,TITANV,commit_d5192_modified_1,111,16,8,1,256,1,1,1,151981,228392960,1015,782,88,32,16,8,1,64,1,1,2,71406,109117440,854,446,267,10,170317,0,2783965,0.9576,0.2943
